表内序号,五要素,表名,中文表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
1,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
2,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
3,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
4,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XMDZWQP,姓名的中文全拼,VARCHAR2,90,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
5,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,BM,别名,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
6,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XBDM,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
7,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,CSRQ,出生日期,VARCHAR2,8,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
8,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,CSD,出生地,VARCHAR2,3,DE00009,出生地国家和地区代码,CSDGJHDQDM,字符型（string）,c3
9,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XLDM,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
10,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,DW,单位,VARCHAR2,70,DE00065,单位名称,DWMC,字符型（string）,c..100
11,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,GRSFDM,身份,VARCHAR2,2,DE00018,个人身份代码,GRSFDM,字符型（string）,c2
12,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XZZXZQH,现住址行政区划,VARCHAR2,6,DE00070,现住址行政区划代码,XZZXZQHDM,字符型（string）,c6
13,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,XZZ,现住址,VARCHAR2,128,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
14,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,HKSZD,户口所在地,VARCHAR2,6,DE00070,户口所在地行政区划代码,HKSZDXZQHDM,字符型（string）,c6
15,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,SSPCS,所属派出所,VARCHAR2,13,DE00060,公安机关机构代码,SSPCSJGDM,字符型（string）,c12
16,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,ZJLX,证件类型,VARCHAR2,3,,,,,
17,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,ZJHM,证件号码,VARCHAR2,18,,,,,
18,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,QWGHDQ,前往国或地区,VARCHAR2,3,DE00069,前往国家和地区代码,QWGJHDQDM,字符型（string）,c3
19,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,CJSY,出境事由,VARCHAR2,2,,,,,
20,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,SPJG,审批机关,VARCHAR2,4,,,,,
21,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,QFRQ,签发日期,VARCHAR2,8,DE00571,签发日期,QFRQ,日期型（date）,d8(YYYYMMDD)
22,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,ZJYXQ,证件有效期,VARCHAR2,3,DE01057,证件有效期期限,ZJYXQQX,数值型（numeric）,n..5
23,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,CCRJZJRYID,持出入境证件人员ID,VARCHAR2,15,,,,,
24,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
25,人员要素,CRJ_CCRJZJRYXX,持出入境证件人员信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,人员要素,CRJ_CZJWRYXX,常住境外人员信息,CZJWRYYWBH,常住境外人员业务编号,VARCHAR2,15,,,,,
2,人员要素,CRJ_CZJWRYXX,常住境外人员信息,RYDYLB,人员地域类别,VARCHAR2,1,,,,,
3,人员要素,CRJ_CZJWRYXX,常住境外人员信息,RYLB,人员类别,VARCHAR2,2,DE00148,出入境人员类别代码,CRJRYLBDM,字符型（string）,c2
4,人员要素,CRJ_CZJWRYXX,常住境外人员信息,WWX,外文姓,VARCHAR2,40,DE00004,外文姓,WWX,字符型（string）,c..40
5,人员要素,CRJ_CZJWRYXX,常住境外人员信息,WWM,外文名,VARCHAR2,40,DE00005,外文名,WWM,字符型（string）,c..40
6,人员要素,CRJ_CZJWRYXX,常住境外人员信息,ZWXM,中文姓名,VARCHAR2,30,DE00002,中文姓名,ZWXM,字符型（string）,c..50
7,人员要素,CRJ_CZJWRYXX,常住境外人员信息,XBDM,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
