表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
1,人员要素,CRJ_CCRJZJRYXX,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
2,人员要素,CRJ_CCRJZJRYXX,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
3,人员要素,CRJ_CCRJZJRYXX,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
4,人员要素,CRJ_CCRJZJRYXX,XMDZWQP,姓名的中文全拼,VARCHAR2,90,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
5,人员要素,CRJ_CCRJZJRYXX,BM,别名,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
6,人员要素,CRJ_CCRJZJRYXX,XBDM,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
7,人员要素,CRJ_CCRJZJRYXX,CSRQ,出生日期,VARCHAR2,8,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
8,人员要素,CRJ_CCRJZJRYXX,CSD,出生地,VARCHAR2,3,DE00009,出生地国家和地区代码,CSDGJHDQDM,字符型（string）,c3
9,人员要素,CRJ_CCRJZJRYXX,XLDM,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
10,人员要素,CRJ_CCRJZJRYXX,DW,单位,VARCHAR2,70,DE00065,单位名称,DWMC,字符型（string）,c..100
11,人员要素,CRJ_CCRJZJRYXX,GRSFDM,身份,VARCHAR2,2,DE00018,个人身份代码,GRSFDM,字符型（string）,c2
12,人员要素,CRJ_CCRJZJRYXX,XZZXZQH,现住址行政区划,VARCHAR2,6,DE00070,现住址行政区划代码,XZZXZQHDM,字符型（string）,c6
13,人员要素,CRJ_CCRJZJRYXX,XZZ,现住址,VARCHAR2,128,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
14,人员要素,CRJ_CCRJZJRYXX,HKSZD,户口所在地,VARCHAR2,6,DE00070,户口所在地行政区划代码,HKSZDXZQHDM,字符型（string）,c6
15,人员要素,CRJ_CCRJZJRYXX,SSPCS,所属派出所,VARCHAR2,13,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
16,人员要素,CRJ_CCRJZJRYXX,ZJLX,证件类型,VARCHAR2,3,,,,,
17,人员要素,CRJ_CCRJZJRYXX,ZJHM,证件号码,VARCHAR2,18,,,,,
